invoice_id,vendor_id,vendor_name,matter_type,invoice_number,date,total_amount,status
1,3,Legal Solutions Inc,M&A,INV-2025-0001,2025-04-16,7271.484793467902,pending
2,5,Tech Legal Partners,Patent Filing,INV-2024-0002,2024-10-28,21276.33594101945,paid
3,2,Johnson Legal,Contract Review,INV-2024-0003,2024-11-03,7488.852120729957,paid
4,4,Premier Law Group,M&A,INV-2024-0004,2024-09-06,3844.417052504756,paid
5,4,Premier Law Group,Patent Filing,INV-2024-0005,2024-08-11,13003.885721863042,paid
6,5,Tech Legal Partners,M&A,INV-2024-0006,2024-09-24,6781.712505321402,paid
7,5,Tech Legal Partners,M&A,INV-2024-0007,2024-09-30,31745.486243132484,paid
8,3,Legal Solutions Inc,Regulatory Compliance,INV-2025-0008,2025-04-23,1587.6318413625,paid
9,2,Johnson Legal,Litigation,INV-2024-0009,2024-11-03,12442.43728763274,paid
10,5,Tech Legal Partners,Regulatory Compliance,INV-2025-0010,2025-01-17,14561.840063229085,paid
11,2,Johnson Legal,Contract Review,INV-2025-0011,2025-02-24,4763.153816478389,paid
12,3,Legal Solutions Inc,Patent Filing,INV-2025-0012,2025-03-01,13623.07590987613,paid
13,3,Legal Solutions Inc,Contract Review,INV-2025-0013,2025-02-26,11010.53074877081,paid
14,5,Tech Legal Partners,M&A,INV-2024-0014,2024-10-25,19507.65345749998,pending
15,5,Tech Legal Partners,Contract Review,INV-2025-0015,2025-04-23,8717.401913707206,paid
16,1,Smith & Associates,Litigation,INV-2025-0016,2025-05-26,22845.324013486377,paid
17,5,Tech Legal Partners,Contract Review,INV-2025-0017,2025-05-22,9129.444954860486,paid
18,4,Premier Law Group,Contract Review,INV-2025-0018,2025-03-31,2409.8290444948616,paid
19,5,Tech Legal Partners,Patent Filing,INV-2024-0019,2024-12-11,22844.48474565555,pending
20,2,Johnson Legal,Contract Review,INV-2025-0020,2025-01-27,10855.24044992135,paid
21,5,Tech Legal Partners,M&A,INV-2025-0021,2025-01-06,2982.5612392695703,pending
22,5,Tech Legal Partners,Patent Filing,INV-2025-0022,2025-01-06,24766.04752117878,pending
