country,founded,id,industry,linkedin_url,locality,name,region,size,website
united states,,zQMH4YZKYnzir9QL9Tuctgcs6EWT,law practice,linkedin.com/company/the-stuart-firm,midland,the stuart firm,texas,11-50,thestuartfirm.com
united states,,NLCmBRZZf7xzS75o99aHbQdTrM7p,law practice,linkedin.com/company/law-offices-of-anne-roberts,santa monica,law offices of anne roberts,california,1-10,
canada,2017,fSk7wHBPsflM1T4IrBbIcwtQETXK,legal services,linkedin.com/company/shaya-immigration,west vancouver,shaya immigration services,british columbia,1-10,shayaimmigration.com
united states,,b3nEzBhWH7a2QXJymcO5uwVydgjh,,linkedin.com/company/studio-legale-reggiani,dearborn,studio legale reggiani,michigan,1-10,avvreggiani.it
brazil,,umnGdcO1rUD2226hJGPDBAgbi8HA,legal services,linkedin.com/company/carmona-advocacia-especializada.,antônio bezerra,carmona advocacia especializada.,ceará,1-10,carmona-advocacia-especializada.negocio.site
mexico,2021,JkBdIcCv2Ic84xM65SRlPARqjKeF,legal services,linkedin.com/company/agencia-de-investigación-científica-forense,,agencia de investigación científica forense,mexico city,1-10,linktr.ee/aicf
united states,,lW8e5asuYL2X0013wUwoPgDCMKbI,marketing and advertising,linkedin.com/company/law-firm-marketing-ada-compliant-websites,agoura hills,law firm marketing - ada-compliant websites,california,1-10,
united states,2011,zlCTqBChxkVSfdsMyB2ZGgUJGoV6,,linkedin.com/company/the-law-office-of-rick-montalvo-pllc,mcallen,"the law office of rick montalvo, pllc",texas,1-10,mcallencriminalattorney.net
,,OPEjrBg76gdQ6GJbwHpHmwEPBMgS,legal services,linkedin.com/company/intlexia,,intlexia,,1-10,youtube.com/channel/ucrmgf6qxsixfvtovkfcbjza
germany,,xQCsMd0zYYl5zCNWoEeO4gqIr1xc,law practice,linkedin.com/company/anwaltskanzlei-ludwig,essen,anwaltskanzlei ludwig,north rhine-westphalia,1-10,ra-peter-ludwig.de
south africa,2017,qFPCmvqo9a05Y9jeee6rkAckQUpT,mental health care,linkedin.com/company/ballitocounselling,,ballito counselling,,1-10,ballitocounselling.co.za
united kingdom,,OQyVphAEU6gudoyaETYGUAe7mCGa,legal services,linkedin.com/company/nick-brundall-solicitors,guisborough,nick brundall solicitors,england,1-10,nickbrundallsolicitors.co.uk
united states,1975,0pUlGLDX85QcrFuea1WTbgpo27Sn,law practice,linkedin.com/company/tomoriandassosicates,burlington,"law office of michael j. ring, pc",massachusetts,1-10,
united states,,DXKRmW37mmWnCMVlkswoHAFG1me1,,linkedin.com/company/lawn-care-complete,morgantown,lawn care complete,west virginia,1-10,completelawncarellc.com
germany,,OQDBcf1G06ZcNFnJUQMEcgwmnWg6,legal services,linkedin.com/company/tobias-emsel-rechtsanwalt,halle,tobias emsel rechtsanwalt,saxony-anhalt,1-10,ra-emsel.de
italy,1996,oXXGR1loBWZhSeX02oIvDgbyvvoY,law practice,linkedin.com/company/franchising-in-italy,milan,franchising in italy,lombardy,1-10,franchisinginitaly.com
united states,,OgnQV7pDiKoyNfzK27GpWgVNBGNF,,linkedin.com/company/law-office-of-gerylee-m-baron,alexandria,law office of gerylee m baron,virginia,11-50,gmbaronlaw.com
united states,2009,Ivv9ix1xF9Sm52DB5KiNCwa3ZLGc,legal services,linkedin.com/company/aay-consulting-inc.,kew gardens,"aay consulting, inc.",new york,1-10,aayconsultingny.com
united states,,T73bHdhhlm21xeLMDR9hvgHDrFOh,,linkedin.com/company/powers-lawn-service,melbourne,powers lawn service,florida,1-10,
united states,,mTnmPckMF1OfGk6fecUZXAGXPBg8,legal services,linkedin.com/company/law-office-of-judi-setzer-p-a-,jacksonville,"law office of judi setzer, p.a.",florida,1-10,
france,,yesqBmYSXoB8ZfnweX2Q5Ql5qmpe,legal services,linkedin.com/company/edelmayer-christophe-bourbigot-olivier,brest,edelmayer christophe bourbigot olivier,bretagne,11-50,
netherlands,2017,s8ljU6tblmjTvHIsfAHKKQ1WTBdl,law practice,linkedin.com/company/ddh-advocatuur,oosterhout,ddh advocatuur,north brabant,1-10,ddhadvocatuur.nl
united states,2016,P0V8BBxujZYCkE2K9oT6lw6jV3QT,e-learning,linkedin.com/company/pnthrclaw-consulting,alpharetta,pnthrclaw consulting,georgia,1-10,blessedprofits.com
india,,064PptaafizFsh3PUupzTgSoFXkm,legal services,linkedin.com/company/tyagi-associates-lawyer-&-advocates-in-noida-,noida sector 16,tyagi associates ( lawyer & advocates in noida ),uttar pradesh,1-10,tyagiassociateslawyer.business.site
poland,,tgtm6TbehKNEtvDzScDtZwe49eRH,legal services,linkedin.com/company/nglawservices,olsztyn,ντουματσάς | γεωργούλας & συνεργάτες,warmian-masurian,1-10,nglawservices.gr
united states,2011,r8Y1Hu1X73wHiBkLRuiBCAZSuF6F,legal services,linkedin.com/company/john-t.-corwin-p.c,rome,"john t. corwin, p.c",georgia,1-10,
united states,2005,kgzzToubqXKnFk14fbOHJgEHZXlf,law practice,linkedin.com/company/coleman-stevenson-&-montel-llp,indianapolis,"stevenson legal group, llc",indiana,1-10,slegalgroup.com
canada,2012,Gu6DacisBl5qig4V109irQIqz8Mn,legal services,linkedin.com/company/rozmahel-&-rozmahel-immigration-consultants,edmonton,rozmahel & rozmahel immigration consultants,alberta,1-10,rozmahelimmigration.ca
united states,2019,M3vCt4oSefaLPaRnoDAgqwZD1xzF,law practice,linkedin.com/company/fsfamlaw,chicago,"feinberg sharma, p.c.",illinois,11-50,fsfamlaw.com
germany,,eBOFqH6lDMUGWKq1YhPxOAZbpelC,law practice,linkedin.com/company/anwaltskanzlei-fischl,regensburg,anwaltskanzlei fischl,bavaria,1-10,anwaltskanzlei-fischl.de
united states,2012,irGjYI2hJqmtZ1ahkirQGgmt9BVx,law practice,linkedin.com/company/sclar-adler-llp,new york,sclar adler llp,new york,11-50,sclarlaw.com
south africa,1982,G4jxQATdVkgmJh5FQuqfwQedwnAX,law practice,linkedin.com/company/levine-&-freedman-attorneys,johannesburg,levine & freedman attorneys,,1-10,levineandfreedman.co.za
united kingdom,1887,EZQTLUpzu9rLsGGbhENzsgWQ3HP6,legal services,linkedin.com/company/high-court-enforcement-officers-association,cheshire west and chester,high court enforcement officers association,england,51-200,hceoa.org.uk
united states,,unutou1G3AxZp1Zf59YvewGJpgWq,legal services,linkedin.com/company/law-office-of-roman-j-tyszkiewicz,east lansing,law office of roman j tyszkiewicz,michigan,1-10,romantlaw.com
india,2021,Xfsgjgxjt0CjQutqVQWjygdI8CgM,law practice,linkedin.com/company/adnas-legal,mumbai,adnas legal,maharashtra,1-10,
united states,,85GEIsAucyE0tMgvirCnlwOCUQXV,law practice,linkedin.com/company/domestico-lane-&-mcnamara-llp,framingham,"domestico, lane & mcnamara, llp",massachusetts,1-10,dlandm.com
australia,,pBMJgONGDd2OidcCAdAGrAgn2kDO,legal services,linkedin.com/company/asset-conveyancing-services,adelaide,asset conveyancing services,south australia,1-10,assetconveyancing.com.au
,,aYofkn9HCxoYZFsymOBEJwtLskqP,writing and editing,linkedin.com/company/kim-carlaw-copywriting,,kim carlaw copywriting,,1-10,
brazil,2019,zckMtumQo2QgtmvIPvBTyg5z8f0h,legal services,linkedin.com/company/norma-holz-consultoria-jurídica,joinville,norma holz consultoria previdenciária,santa catarina,1-10,holzconsultoria.com.br
united states,,FcR1LOCtFJ3n6hrWYfpHBQDJVO05,medical practice,linkedin.com/company/clawson-footcare-specialists-pc,clawson,clawson footcare specialists pc,michigan,1-10,thefootcarespecialist.com
south africa,2021,hHTvsaodMLw9EzaoeXHlBAyoIQQr,legal services,linkedin.com/company/lumalaw,johannesburg,luma law,gauteng,11-50,lumalaw.co.za
france,,uVEYqzIDwAvppcDsCqdEYgV7lAph,law practice,linkedin.com/company/sonate-avocats,nantes,sonate avocats,pays de la loire,1-10,sonate-avocats.fr
,,DeIMxLSCB9FBtrVO4pD2LwpiCFVX,law practice,linkedin.com/company/best-legal-australia,,best legal australia,,1-10,
united states,2010,GVVEDZ52zXFZRtb2hTMcwQKjAE7w,law practice,linkedin.com/company/legallypinklaw,orlando,legally pink law,florida,1-10,legallypinklaw.com
belgium,2014,tCco6FCW2IfSIKo0TdKJKwcTmWC0,law practice,linkedin.com/company/notaris-patrice-bohyn,haasdonk,patrice en carol bohyn geassocieerde notarissen,flanders,1-10,bohyn.be
,2023,UuSPdJwHUkUoMIUrXv0fdw6mZtOV,law practice,linkedin.com/company/takahashi-e-silva-advogados-associados,,takahashi e silva - advogados associados,,1-10,tksadvocacia.com.br
germany,,APKUi6UxjAromNpkCU1BBglt0ebT,legal services,linkedin.com/company/batzlaff-&-partner,kiel,batzlaff & partner,schleswig-holstein,1-10,batzlaff.de
croatia,1994,i3aaaZqQ1LEv6v2GcFc1dArNipHF,legal services,linkedin.com/company/odvjetnicki-ured-zoric,,odvjetničko društvo zorić i partneri j.t.d. │ zoric law office,grad zagreb,1-10,zoric-law.hr
germany,,dS9S9A5IxS6uwEwJgCquHgbEAsVu,law practice,linkedin.com/company/bestattungshaus-wilhelm-schulte-gmbh,osnabrück,bestattungshaus wilhelm schulte gmbh,lower saxony,1-10,bestattungshaus-schulte.de
,2010,5uE9zC6gwhrmBy2SRZ1FKAiiuhqv,legal services,linkedin.com/company/vankova-&-partners-real-and-intellectual-property-ltd,,vankova & partners real and intellectual property ®,,1-10,
united states,,lkDEBNkCaseOMACsLofoJgDbOkPZ,,linkedin.com/company/vodzak-law,south park,vodzak law,pennsylvania,1-10,vodzaklaw.com
germany,,lcDywlLqNDvnayOqcBI5sQ9sqMoy,legal services,linkedin.com/company/franz-kahl-gmbh,marburg,franz kahl gmbh,hesse,1-10,franz-kahl.de
